window_hours,timestamp_utc,symbol,direction,agent_action,outcome_label,reward_calculated,unrealized_pnl_pct
12,2026-02-17 07:04:46,ICPUSDT,SHORT,CLOSE,win,1.1845237499999999,11.845237499999998
12,2026-02-17 07:04:35,ICPUSDT,SHORT,CLOSE,win,1.0956181572338173,10.956181572338172
12,2026-02-17 07:00:03,ICPUSDT,SHORT,HOLD,win,10.0,10.369298448570483
12,2026-02-17 06:58:45,ICPUSDT,SHORT,HOLD,win,10.0,9.74160914760915
12,2026-02-17 06:58:35,ICPUSDT,SHORT,HOLD,win,10.0,10.161634775374376
24,2026-02-17 07:04:46,ICPUSDT,SHORT,CLOSE,win,1.1845237499999999,11.845237499999998
24,2026-02-17 07:04:35,ICPUSDT,SHORT,CLOSE,win,1.0956181572338173,10.956181572338172
24,2026-02-17 07:00:03,ICPUSDT,SHORT,HOLD,win,10.0,10.369298448570483
24,2026-02-17 06:58:45,ICPUSDT,SHORT,HOLD,win,10.0,9.74160914760915
24,2026-02-17 06:58:35,ICPUSDT,SHORT,HOLD,win,10.0,10.161634775374376
24,2026-02-17 06:54:27,ICPUSDT,SHORT,HOLD,win,10.0,9.9301490388006
24,2026-02-17 06:52:46,ICPUSDT,SHORT,HOLD,win,10.0,10.901119036140184
24,2026-02-17 06:52:36,ICPUSDT,SHORT,HOLD,win,10.0,9.74160914760915
24,2026-02-17 06:48:52,ICPUSDT,SHORT,HOLD,win,10.0,12.689145120934112
24,2026-02-17 06:46:45,ICPUSDT,SHORT,HOLD,win,10.0,12.267015423092955
24,2026-02-17 06:46:34,ICPUSDT,SHORT,HOLD,win,10.0,12.751966995450614
24,2026-02-17 06:43:14,ICPUSDT,SHORT,HOLD,win,10.0,11.845237499999998
24,2026-02-17 06:40:45,ICPUSDT,SHORT,HOLD,win,10.0,12.689145120934112
24,2026-02-17 06:40:34,ICPUSDT,SHORT,HOLD,win,10.0,12.689145120934112
24,2026-02-17 06:37:39,ICPUSDT,SHORT,HOLD,win,10.0,12.689145120934112
24,2026-02-17 06:34:40,ICPUSDT,SHORT,HOLD,win,10.0,12.267015423092955
24,2026-02-17 06:34:30,ICPUSDT,SHORT,HOLD,win,10.0,11.321634151598296
24,2026-02-17 06:32:04,ICPUSDT,SHORT,HOLD,win,10.0,13.957649269311062
24,2026-02-17 06:28:41,ICPUSDT,SHORT,HOLD,win,10.0,15.653939774153072
24,2026-02-17 06:28:31,ICPUSDT,SHORT,HOLD,win,10.0,15.047628179604306
24,2026-02-17 06:26:27,ICPUSDT,SHORT,HOLD,win,10.0,15.438374650687914
24,2026-02-17 06:22:37,ICPUSDT,SHORT,HOLD,win,10.0,16.232814206730776
24,2026-02-17 06:22:27,ICPUSDT,SHORT,HOLD,win,10.0,16.07889958158996
24,2026-02-17 06:20:51,ICPUSDT,SHORT,HOLD,win,10.0,15.653939774153072
24,2026-02-17 06:16:37,ICPUSDT,SHORT,HOLD,win,10.0,14.343879230574336
24,2026-02-17 06:16:27,ICPUSDT,SHORT,HOLD,win,10.0,14.796362573682348
24,2026-02-17 06:15:16,ICPUSDT,SHORT,HOLD,win,10.0,15.229335284280937
24,2026-02-17 06:10:38,ICPUSDT,SHORT,HOLD,win,10.0,13.717535774167297
24,2026-02-17 06:10:27,ICPUSDT,SHORT,HOLD,win,10.0,13.790079716552237
24,2026-02-17 06:09:39,ICPUSDT,SHORT,HOLD,win,10.0,14.381190476190476
24,2026-02-17 06:04:35,ICPUSDT,SHORT,HOLD,win,10.0,14.748072345036862
24,2026-02-17 06:04:25,ICPUSDT,SHORT,HOLD,win,10.0,15.171472207976239
24,2026-02-17 06:04:04,ICPUSDT,SHORT,HOLD,win,10.0,14.764626538646866
24,2026-02-17 05:58:35,ICPUSDT,SHORT,HOLD,win,10.0,15.454904667054697
24,2026-02-17 05:58:28,ICPUSDT,SHORT,HOLD,win,10.0,15.58855303142883
24,2026-02-17 05:58:24,ICPUSDT,SHORT,HOLD,win,10.0,15.653939774153072
24,2026-02-17 05:52:49,ICPUSDT,SHORT,HOLD,win,10.0,17.35591537494763
24,2026-02-17 05:52:29,ICPUSDT,SHORT,HOLD,win,10.0,16.53334527953865
24,2026-02-17 05:52:18,ICPUSDT,SHORT,HOLD,win,10.0,17.35591537494763
24,2026-02-17 05:47:13,ICPUSDT,SHORT,HOLD,win,10.0,16.929886934673362
24,2026-02-17 05:46:29,ICPUSDT,SHORT,HOLD,win,10.0,16.07889958158996
24,2026-02-17 05:46:18,ICPUSDT,SHORT,HOLD,win,10.0,16.85521961358491
24,2026-02-17 05:41:36,ICPUSDT,SHORT,HOLD,win,10.0,20.77703656998739
24,2026-02-17 05:40:23,ICPUSDT,SHORT,HOLD,win,10.0,20.348138655462183
24,2026-02-17 05:40:12,ICPUSDT,SHORT,HOLD,win,10.0,20.348138655462183
24,2026-02-17 05:35:55,ICPUSDT,SHORT,HOLD,win,10.0,23.911086806556163
24,2026-02-17 05:35:39,ICPUSDT,SHORT,HOLD,win,10.0,23.60230370529179
24,2026-02-17 05:34:21,ICPUSDT,SHORT,HOLD,win,10.0,23.789447723440137
24,2026-02-17 05:34:10,ICPUSDT,SHORT,HOLD,win,10.0,24.012977841343464
24,2026-02-17 05:33:57,BARDUSDT,LONG,CLOSE,loss,-0.4284274193548388,-4.284274193548388
